Trigram,Occurrences
erromangoan extracts supplied,1
extracts supplied by,1
by a subsublibrarian,1
a subsublibrarian it,1
subsublibrarian it will,1
it will be,7
will be seen,4
be seen that,2
seen that this,1
that this mere,1
this mere painstaking,1
mere painstaking burrower,1
painstaking burrower and,1
burrower and grubworm,1
and grubworm of,1
grubworm of a,1
of a poor,1
a poor devil,2
poor devil of,2
devil of a,4
of a subsub,2
a subsub appears,1
subsub appears to,1
appears to have,1
to have gone,2
have gone through,1
gone through the,1
through the long,2
the long vaticans,1
long vaticans and,1
vaticans and streetstalls,1
and streetstalls of,1
streetstalls of the,1
of the earth,6
the earth picking,1
earth picking up,1
picking up whatever,1
up whatever random,1
whatever random allusions,1
random allusions to,1
allusions to whales,1
to whales he,1
whales he could,2
he could anyways,1
could anyways find,1
anyways find in,1
find in any,1
in any book,1
any book whatsoever,1
book whatsoever sacred,1
whatsoever sacred or,1
sacred or profane,1
or profane therefore,1
profane therefore you,1
therefore you must,2
you must not,3
must not in,1
not in every,1
in every case,1
every case at,1
case at least,1
at least take,1
least take the,1
take the higgledypiggledy,1
the higgledypiggledy whale,1
higgledypiggledy whale statements,1
whale statements however,1
statements however authentic,1
however authentic in,1
authentic in these,1
in these extracts,1
these extracts for,1
extracts for veritable,1
for veritable gospel,1
veritable gospel cetology,1
gospel cetology far,1
cetology far from,1
far from it,1
from it as,1
it as touching,1
as touching the,2
touching the ancient,1
the ancient authors,1
ancient authors generally,1
authors generally as,1
generally as well,1
as well as,19
well as the,5
as the poets,1
the poets here,1
poets here appearing,1
here appearing these,1
appearing these extracts,1
these extracts are,1
extracts are solely,1
are solely valuable,1
solely valuable or,1
valuable or entertaining,1
or entertaining as,1
entertaining as affording,1
as affording a,1
affording a glancing,1
a glancing birds,1
glancing birds eye,1
birds eye view,1
eye view of,1
view of what,1
of what has,1
what has been,2
has been promiscuously,1
been promiscuously said,1
promiscuously said thought,1
said thought fancied,1
thought fancied and,1
fancied and sung,1
and sung of,1
sung of leviathan,1
of leviathan by,1
leviathan by many,1
by many nations,1
many nations and,1
nations and generations,1
and generations including,1
generations including our,1
including our own,1
our own so,1
own so fare,1
so fare thee,1
fare thee well,1
thee well poor,1
well poor devil,1
a subsub whose,1
subsub whose commentator,1
whose commentator i,1
commentator i am,1
i am thou,1
am thou belongest,1
thou belongest to,1
belongest to that,1
to that hopeless,1
that hopeless sallow,1
hopeless sallow tribe,1
sallow tribe which,1
tribe which no,1
which no wine,1
no wine of,1
wine of this,1
of this world,2
this world will,1
world will ever,1
will ever warm,1
ever warm and,1
warm and for,1
and for whom,1
for whom even,1
whom even pale,1
even pale sherry,1
pale sherry would,1
sherry would be,1
would be too,2
be too rosystrong,1
too rosystrong but,1
rosystrong but with,1
but with whom,1
with whom one,1
whom one sometimes,1
one sometimes loves,1
sometimes loves to,1
loves to sit,1
to sit and,1
sit and feel,1
and feel poordevilish,1
feel poordevilish too,1
poordevilish too and,1
too and grow,1
and grow convivial,1
grow convivial upon,1
convivial upon tears,1
upon tears and,1
tears and say,1
and say to,3
say to them,1
to them bluntly,1
them bluntly with,1
bluntly with full,1
with full eyes,1
full eyes and,1
eyes and empty,1
and empty glasses,1
empty glasses and,1
glasses and in,1
and in not,1
in not altogether,1
not altogether unpleasant,1
altogether unpleasant sadnessgive,1
unpleasant sadnessgive it,1
sadnessgive it up,1
it up subsubs,1
up subsubs for,1
subsubs for by,1
for by how,1
by how much,1
how much the,1
much the more,9
the more pains,1
more pains ye,1
pains ye take,1
ye take to,1
take to please,1
to please the,1
please the world,1
the world by,3
world by so,1
by so much,2
so much the,10
the more shall,1
more shall ye,1
shall ye for,1
ye for ever,1
for ever go,1
ever go thankless,1
go thankless would,1
thankless would that,1
would that i,2
that i could,5
i could clear,1
could clear out,1
clear out hampton,1
out hampton court,1
hampton court and,1
court and the,1
and the tuileries,1
the tuileries for,1
tuileries for ye,1
for ye but,1
ye but gulp,1
but gulp down,1
gulp down your,1
down your tears,1
your tears and,1
tears and hie,1
and hie aloft,1
hie aloft to,1
aloft to the,1
to the royalmast,1
the royalmast with,1
royalmast with your,1
with your hearts,1
your hearts for,1
hearts for your,1
for your friends,1
your friends who,1
friends who have,1
who have gone,2
have gone before,1
gone before are,1
before are clearing,1
are clearing out,1
clearing out the,1
out the sevenstoried,1
the sevenstoried heavens,1
sevenstoried heavens and,1
heavens and making,1
and making refugees,1
making refugees of,1
refugees of longpampered,1
of longpampered gabriel,1
longpampered gabriel michael,1
gabriel michael and,1
michael and raphael,1
and raphael against,1
raphael against your,1
against your coming,1
your coming here,1
coming here ye,1
here ye strike,1
ye strike but,1
strike but splintered,1
but splintered hearts,1
splintered hearts togetherthere,1
hearts togetherthere ye,1
togetherthere ye shall,1
ye shall strike,1
shall strike unsplinterable,1
strike unsplinterable glasses,1
unsplinterable glasses extracts,1
glasses extracts and,1
extracts and god,1
and god created,1
god created great,1
created great whales,1
great whales genesis,1
whales genesis leviathan,1
genesis leviathan maketh,1
leviathan maketh a,1
maketh a path,1
a path to,1
path to shine,1
to shine after,1
shine after him,1
after him one,1
him one would,1
one would think,2
would think the,1
think the deep,1
the deep to,1
deep to be,1
to be hoary,1
be hoary job,1
hoary job now,1
job now the,1
now the lord,1
the lord had,1
lord had prepared,1
had prepared a,2
prepared a great,2
a great fish,2
great fish to,2
fish to swallow,2
to swallow up,2
swallow up jonah,2
up jonah jonah,1
jonah jonah there,1
jonah there go,1
there go the,1
go the ships,1
the ships there,1
ships there is,1
there is that,2
is that leviathan,1
that leviathan whom,1
leviathan whom thou,1
whom thou hast,1
thou hast made,1
hast made to,1
made to play,1
to play therein,1
play therein psalms,1
therein psalms in,1
psalms in that,1
in that day,1
that day the,2
day the lord,1
the lord with,1
lord with his,1
with his sore,1
his sore and,1
sore and great,1
and great and,1
great and strong,1
and strong sword,1
strong sword shall,1
sword shall punish,1
shall punish leviathan,1
punish leviathan the,1
leviathan the piercing,1
the piercing serpent,1
piercing serpent even,1
serpent even leviathan,1
even leviathan that,1
leviathan that crooked,1
that crooked serpent,1
crooked serpent and,1
serpent and he,1
and he shall,1
he shall slay,1
shall slay the,1
slay the dragon,1
the dragon that,1
dragon that is,1
that is in,3
is in the,9
in the sea,33
the sea isaiah,1
sea isaiah and,1
isaiah and what,1
and what thing,1
what thing soever,1
thing soever besides,1
soever besides cometh,1
besides cometh within,1
cometh within the,1
within the chaos,1
the chaos of,1
chaos of this,1
of this monsters,3
this monsters mouth,1
monsters mouth be,1
mouth be it,1
be it beast,1
it beast boat,1
beast boat or,1
boat or stone,1
or stone down,1
stone down it,1
down it goes,1
it goes all,1
goes all incontinently,1
all incontinently that,1
incontinently that foul,1
that foul great,1
foul great swallow,1
great swallow of,1
swallow of his,1
of his and,2
his and perisheth,1
and perisheth in,1
perisheth in the,1
in the bottomless,3
the bottomless gulf,1
bottomless gulf of,1
gulf of his,1
of his paunch,1
his paunch hollands,1
paunch hollands plutarchs,1
hollands plutarchs morals,1
plutarchs morals the,1
morals the indian,1
the indian sea,1
indian sea breedeth,1
sea breedeth the,1
breedeth the most,1
the most and,1
most and the,1
and the biggest,1
the biggest fishes,1
biggest fishes that,1
fishes that are,1
that are among,1
are among which,1
among which the,1
which the whales,2
the whales and,3
whales and whirlpooles,1
and whirlpooles called,1
whirlpooles called balaene,1
called balaene take,1
balaene take up,1
take up as,1
up as much,1
as much in,2
much in length,1
in length as,1
length as four,1
as four acres,1
four acres or,1
acres or arpens,1
or arpens of,1
arpens of land,1
of land hollands,1
land hollands pliny,1
hollands pliny scarcely,1
pliny scarcely had,1
scarcely had we,1
had we proceeded,1
we proceeded two,1
proceeded two days,1
two days on,1
days on the,1
on the sea,19
the sea when,2
sea when about,1
when about sunrise,1
about sunrise a,1
sunrise a great,1
a great many,1
great many whales,1
many whales and,1
whales and other,1
and other monsters,1
other monsters of,1
monsters of the,2
of the sea,57
the sea appeared,1
sea appeared among,1
appeared among the,1
among the former,1
the former one,2
former one was,1
one was of,1
was of a,4
of a most,2
a most monstrous,1
most monstrous size,1
monstrous size this,1
size this came,1
this came towards,1
came towards us,1
towards us openmouthed,1
us openmouthed raising,1
openmouthed raising the,1
raising the waves,1
the waves on,1
waves on all,1
on all sides,5
all sides and,2
sides and beating,1
and beating the,1
beating the sea,1
the sea before,1
sea before him,1
before him into,1
him into a,1
into a foam,1
a foam tookes,1
foam tookes lucian,1
tookes lucian the,1
lucian the true,1
the true history,1
true history he,1
history he visited,1
he visited this,1
visited this country,1
this country also,1
country also with,1
also with a,1
with a view,5
a view of,2
view of catching,1
of catching horsewhales,1
catching horsewhales which,1
horsewhales which had,1
which had bones,1
had bones of,1
bones of very,1
of very great,1
very great value,1
great value for,1
value for their,1
for their teeth,1
their teeth of,1
teeth of which,1
of which he,2
which he brought,1
he brought some,1
brought some to,1
some to the,1
to the king,3
the king the,1
king the best,1
the best whales,1
best whales were,1
whales were catched,1
were catched in,1
catched in his,1
in his own,17
his own country,1
own country of,1
country of which,1
of which some,1
which some were,1
some were fortyeight,1
were fortyeight some,1
fortyeight some fifty,1
some fifty yards,1
fifty yards long,1
yards long he,1
long he said,1
he said that,2
said that he,1
that he was,14
he was one,1
was one of,10
one of six,1
of six who,1
six who had,1
who had killed,1
had killed sixty,1
killed sixty in,1
sixty in two,1
in two days,1
two days other,1
days other or,1
other or others,1
or others verbal,1
others verbal narrative,1
verbal narrative taken,1
narrative taken down,1
taken down from,1
down from his,2
from his mouth,5
his mouth by,1
mouth by king,1
by king alfred,1
king alfred ad,1
alfred ad 890,1
ad 890 and,1
890 and whereas,1
and whereas all,1
whereas all the,1
all the other,6
the other things,1
other things whether,1
things whether beast,1
whether beast or,1
beast or vessel,1
or vessel that,1
vessel that enter,1
that enter into,1
enter into the,2
into the dreadful,1
the dreadful gulf,1
dreadful gulf of,1
gulf of this,1
this monsters whales,1
monsters whales mouth,1
whales mouth are,1
mouth are immediately,1
are immediately lost,1
immediately lost and,1
lost and swallowed,1
and swallowed up,1
swallowed up the,1
up the seagudgeon,1
the seagudgeon retires,1
seagudgeon retires into,1
retires into it,1
into it in,1
it in great,1
in great security,1
great security and,1
security and there,1
and there sleeps,1
there sleeps montaigne,1
sleeps montaigne apology,1
montaigne apology for,1
apology for raimond,1
for raimond sebond,1
raimond sebond let,1
sebond let us,1
let us fly,3
us fly let,1
fly let us,1
us fly old,1
fly old nick,1
old nick take,1
nick take me,1
take me if,1
me if is,1
if is not,1
is not leviathan,1
not leviathan described,1
leviathan described by,1
described by the,1
by the noble,1
the noble prophet,1
noble prophet moses,1
prophet moses in,1
moses in the,1
in the life,2
the life of,5
life of patient,1
of patient job,1
patient job rabelais,1
job rabelais this,1
rabelais this whales,1
this whales liver,1
whales liver was,1
liver was two,1
was two cartloads,1
two cartloads stowes,1
cartloads stowes annals,1
stowes annals the,1
annals the great,1
the great leviathan,6
great leviathan that,1
leviathan that maketh,1
that maketh the,2
maketh the seas,1
the seas to,1
seas to seethe,1
to seethe like,1
seethe like boiling,1
like boiling pan,1
boiling pan lord,1
pan lord bacons,1
lord bacons version,1
bacons version of,1
of the psalms,1
the psalms touching,1
psalms touching that,1
touching that monstrous,1
that monstrous bulk,1
monstrous bulk of,1
bulk of the,2
of the whale,78
the whale or,2
whale or ork,1
or ork we,1
ork we have,1
we have received,1
have received nothing,1
received nothing certain,1
nothing certain they,1
certain they grow,1
they grow exceeding,1
grow exceeding fat,1
exceeding fat insomuch,1
fat insomuch that,1
insomuch that an,1
that an incredible,1
an incredible quantity,1
incredible quantity of,1
quantity of oil,3
of oil will,1
oil will be,1
will be extracted,1
be extracted out,1
extracted out of,1
out of one,1
of one whale,1
one whale ibid,1
whale ibid history,1
ibid history of,1
history of life,1
of life and,7
life and death,5
and death the,1
death the sovereignest,1
the sovereignest thing,1
sovereignest thing on,1
thing on earth,1
on earth is,2
earth is parmacetti,1
is parmacetti for,1
parmacetti for an,1
for an inward,1
an inward bruise,1
inward bruise king,1
bruise king henry,1
king henry very,1
henry very like,1
very like a,1
like a whale,3
a whale hamlet,1
whale hamlet which,1
hamlet which to,1
which to secure,1
to secure no,1
secure no skill,1
no skill of,1
skill of leachs,1
of leachs art,1
leachs art mote,1
art mote him,1
mote him availle,1
him availle but,1
availle but to,1
but to returne,1
to returne againe,1
returne againe to,1
againe to his,1
to his wounds,1
his wounds worker,1
wounds worker that,1
worker that with,1
that with lowly,1
with lowly dart,1
lowly dart dinting,1
dart dinting his,1
dinting his breast,1
his breast had,1
breast had bred,1
had bred his,1
bred his restless,1
his restless paine,1
restless paine like,1
paine like as,1
like as the,1
as the wounded,1
the wounded whale,2
wounded whale to,1
whale to shore,1
to shore flies,1
shore flies thro,1
flies thro the,1
thro the maine,1
the maine the,1
maine the faerie,1
the faerie queen,1
faerie queen immense,1
queen immense as,1
immense as whales,1
as whales the,1
whales the motion,1
the motion of,3
motion of whose,1
of whose vast,1
whose vast bodies,1
vast bodies can,1
bodies can in,1
can in a,2
in a peaceful,1
a peaceful calm,1
peaceful calm trouble,1
calm trouble the,1
trouble the ocean,1
the ocean til,1
ocean til it,1
til it boil,1
it boil sir,1
boil sir william,1
sir william davenant,1
william davenant preface,1
davenant preface to,1
preface to gondibert,1
to gondibert what,1
gondibert what spermacetti,1
what spermacetti is,1
spermacetti is men,1
is men might,1
men might justly,1
might justly doubt,1
justly doubt since,1
doubt since the,1
since the learned,1
the learned hosmannus,1
learned hosmannus in,1
hosmannus in his,1
in his work,1
his work of,1
work of thirty,1
of thirty years,1
thirty years saith,1
years saith plainly,1
saith plainly nescio,1
plainly nescio quid,1
nescio quid sit,1
quid sit sir,1
sit sir t,1
sir t browne,2
t browne of,1
browne of sperma,1
of sperma ceti,1
sperma ceti and,1
ceti and the,1
and the sperma,1
the sperma ceti,1
sperma ceti whale,1
ceti whale vide,1
whale vide his,1
vide his v,1
his v e,1
v e like,1
e like spencers,1
like spencers talus,1
spencers talus with,1
talus with his,1
with his modern,1
his modern flail,1
modern flail he,1
flail he threatens,1
he threatens ruin,1
threatens ruin with,1
ruin with his,1
with his ponderous,1
his ponderous tail,1
ponderous tail their,1
tail their fixed,1
their fixed javlins,1
fixed javlins in,1
javlins in his,1
in his side,2
his side he,1
side he wears,1
he wears and,1
wears and on,1
and on his,1
on his back,5
his back a,3
back a grove,1
a grove of,1
grove of pikes,1
of pikes appears,1
pikes appears wallers,1
appears wallers battle,1
wallers battle of,1
battle of the,1
of the summer,1
the summer islands,1
summer islands by,1
islands by art,1
by art is,1
art is created,1
is created that,1
created that great,1
that great leviathan,1
great leviathan called,1
leviathan called a,1
called a commonwealth,1
a commonwealth or,1
commonwealth or statein,1
or statein latin,1
statein latin civitas,1
latin civitas which,1
civitas which is,1
which is but,1
is but an,1
but an artificial,1
an artificial man,1
artificial man opening,1
man opening sentence,1
opening sentence of,1
sentence of hobbess,1
of hobbess leviathan,1
hobbess leviathan silly,1
leviathan silly mansoul,1
silly mansoul swallowed,1
mansoul swallowed it,1
swallowed it without,1
it without chewing,1
without chewing as,1
chewing as if,1
as if it,19
if it had,5
it had been,10
had been a,7
been a sprat,1
a sprat in,1
sprat in the,1
in the mouth,1
the mouth of,5
mouth of a,2
of a whale,14
a whale pilgrims,1
whale pilgrims progress,1
pilgrims progress that,1
progress that sea,1
that sea beast,1
sea beast leviathan,1
beast leviathan which,1
leviathan which god,1
which god of,1
god of all,1
of all his,5
all his works,1
his works created,1
works created hugest,1
created hugest that,1
hugest that swim,1
that swim the,1
swim the ocean,1
the ocean stream,1
ocean stream paradise,1
stream paradise lost,1
paradise lost there,1
lost there leviathan,1
there leviathan hugest,1
leviathan hugest of,1
hugest of living,2
of living creatures,2
living creatures in,1
creatures in the,1
in the deep,8
the deep stretched,1
deep stretched like,1
stretched like a,1
like a promontory,1
a promontory sleeps,1
promontory sleeps or,1
sleeps or swims,1
or swims and,1
swims and seems,1
and seems a,1
seems a moving,1
a moving land,1
moving land and,1
land and at,1
and at his,2
at his gills,1
his gills draws,1
gills draws in,1
draws in and,1
in and at,1
at his breath,1
his breath spouts,1
breath spouts out,1
spouts out a,1
out a sea,1
a sea ibid,1
sea ibid the,1
ibid the mighty,1
the mighty whales,1
mighty whales which,1
whales which swim,1
which swim in,1
swim in a,1
in a sea,1
a sea of,2
sea of water,1
of water and,3
water and have,1
and have a,3
have a sea,1
sea of oil,1
of oil swimming,1
oil swimming in,1
swimming in them,1
in them fulllers,1
them fulllers profane,1
fulllers profane and,1
profane and holy,1
and holy state,1
holy state so,1
state so close,1
so close behind,1
close behind some,1
behind some promontory,1
some promontory lie,1
promontory lie the,1
lie the huge,1
the huge leviathan,1
huge leviathan to,1
leviathan to attend,1
to attend their,1
attend their prey,1
their prey and,1
prey and give,1
and give no,2
give no chance,1
no chance but,1
chance but swallow,1
but swallow in,1
swallow in the,1
in the fry,1
the fry which,1
fry which through,1
which through their,1
through their gaping,1
their gaping jaws,1
gaping jaws mistake,1
jaws mistake the,1
mistake the way,1
the way drydens,1
way drydens annus,1
drydens annus mirabilis,1
annus mirabilis while,1
mirabilis while the,1
while the whale,2
the whale is,18
whale is floating,1
is floating at,1
floating at the,1
at the stern,2
the stern of,5
stern of the,6
of the ship,28
the ship they,1
ship they cut,1
they cut off,1
cut off his,1
off his head,1
his head and,12
head and tow,1
and tow it,2
tow it with,1
it with a,5
with a boat,1
a boat as,1
boat as near,1
as near the,1
near the shore,1
the shore as,1
shore as it,1
as it will,1
it will come,1
will come but,1
come but it,1
but it will,2
will be aground,1
be aground in,1
aground in twelve,1
in twelve or,1
twelve or thirteen,1
or thirteen feet,1
thirteen feet water,1
feet water thomas,1
water thomas edges,1
thomas edges ten,1
edges ten voyages,1
ten voyages to,1
voyages to spitzbergen,1
to spitzbergen in,2
spitzbergen in purchas,1
in purchas in,1
purchas in their,1
in their way,1
their way they,1
way they saw,1
they saw many,1
saw many whales,1
many whales sporting,1
whales sporting in,1
sporting in the,1
in the ocean,3
the ocean and,4
ocean and in,1
and in wantonness,1
in wantonness fuzzing,1
wantonness fuzzing up,1
fuzzing up the,1
up the water,1
the water through,1
water through their,1
through their pipes,1
their pipes and,1
pipes and vents,1
and vents which,1
vents which nature,1
which nature has,1
nature has placed,1
has placed on,1
placed on their,1
on their shoulders,1
their shoulders sir,1
shoulders sir t,1
sir t herberts,1
t herberts voyages,1
herberts voyages into,1
voyages into asia,1
into asia and,1
asia and africa,1
and africa harris,1
africa harris coll,1
harris coll here,1
coll here they,1
here they saw,1
they saw such,1
saw such huge,1
such huge troops,1
huge troops of,1
troops of whales,1
of whales that,2
whales that they,1
that they were,6
they were forced,1
were forced to,2
forced to proceed,1
to proceed with,1
proceed with a,1
with a great,2
a great deal,2
great deal of,1
deal of caution,1
of caution for,1
caution for fear,1
for fear they,1
fear they should,1
they should run,1
should run their,1
run their ship,1
their ship upon,1
ship upon them,1
upon them schoutens,1
them schoutens sixth,1
schoutens sixth circumnavigation,1
sixth circumnavigation we,1
circumnavigation we set,1
we set sail,1
set sail from,1
sail from the,1
from the elbe,1
the elbe wind,1
elbe wind ne,1
wind ne in,1
ne in the,1
in the ship,8
the ship called,1
ship called the,1
called the jonasinthewhale,1
the jonasinthewhale some,1
jonasinthewhale some say,1
some say the,1
say the whale,2
the whale cant,1
whale cant open,1
cant open his,1
open his mouth,2
his mouth but,1
mouth but that,1
but that is,1
that is a,3
is a fable,1
a fable they,1
fable they frequently,1
they frequently climb,1
frequently climb up,1
climb up the,2
up the masts,1
the masts to,1
masts to see,1
to see whether,5
see whether they,1
whether they can,1
they can see,1
can see a,2
see a whale,2
a whale for,3
whale for the,3
for the first,8
the first discoverer,1
first discoverer has,1
discoverer has a,1
has a ducat,1
a ducat for,1
ducat for his,1
for his pains,1
his pains i,1
pains i was,1
i was told,2
was told of,1
told of a,1
a whale taken,1
whale taken near,1
taken near shetland,1
near shetland that,1
shetland that had,1
that had above,1
had above a,1
above a barrel,1
a barrel of,1
barrel of herrings,1
of herrings in,1
herrings in his,1
in his belly,1
his belly one,1
belly one of,1
one of our,4
of our harpooneers,1
our harpooneers told,1
harpooneers told me,1
told me that,4
me that he,3
that he caught,1
he caught once,1
caught once a,1
once a whale,1
a whale in,5
whale in spitzbergen,1
in spitzbergen that,1
spitzbergen that was,1
that was white,1
was white all,1
white all over,1
all over a,1
over a voyage,1
a voyage to,2
voyage to greenland,1
to greenland ad,1
greenland ad 1671,1
ad 1671 harris,1
1671 harris coll,1
harris coll several,1
coll several whales,1
several whales have,1
whales have come,1
have come in,1
come in upon,1
in upon this,1
upon this coast,1
this coast fife,1
coast fife anno,1
fife anno 1652,1
anno 1652 one,1
1652 one eighty,1
one eighty feet,1
eighty feet in,1
feet in length,12
in length of,1
length of the,9
of the whalebone,1
the whalebone kind,1
whalebone kind came,1
kind came in,1
came in which,1
in which as,1
which as i,1
as i was,7
i was informed,1
was informed besides,1
informed besides a,1
besides a vast,1
a vast quantity,1
vast quantity of,1
of oil did,1
oil did afford,1
did afford 500,1
afford 500 weight,1
500 weight of,1
weight of baleen,1
of baleen the,1
baleen the jaws,1
the jaws of,7
jaws of it,1
of it stand,2
it stand for,1
stand for a,1
for a gate,1
a gate in,1
gate in the,1
in the garden,2
the garden of,1
garden of pitferren,1
of pitferren sibbalds,1
pitferren sibbalds fife,1
sibbalds fife and,1
fife and kinross,1
and kinross myself,1
kinross myself have,1
myself have agreed,1
have agreed to,1
agreed to try,1
to try whether,1
try whether i,1
whether i can,1
i can master,1
can master and,1
master and kill,1
and kill this,1
kill this spermaceti,1
this spermaceti whale,1
spermaceti whale for,1
whale for i,1
for i could,1
i could never,1
could never hear,1
never hear of,1
hear of any,1
of any of,1
any of that,1
of that sort,12
